date,drawdown
2020-06-10,-0.2556131010727405
2020-06-11,-0.26675170597442166
2020-06-12,-0.2635344981112297
2020-06-15,-0.26151758967134386
2020-06-16,-0.2649432934536626
2020-06-17,-0.2619620913878155
2020-06-18,-0.2533457079522371
2020-06-19,-0.24202901278630193
2020-06-22,-0.2287866261450988
2020-06-23,-0.2237450789895477
2020-06-24,-0.22900670517084368
2020-06-25,-0.22984648040065975
2020-06-26,-0.22599220167346937
2020-06-29,-0.2334213166806871
2020-06-30,-0.2351978756582463
2020-07-01,-0.2318575972872365
2020-07-02,-0.22591111992714238
2020-07-03,-0.2190568165858504
2020-07-06,-0.20668026716435423
2020-07-07,-0.2046459840645411
2020-07-08,-0.21079516579045296
2020-07-09,-0.20372512708839793
2020-07-10,-0.20456490231821403
2020-07-13,-0.21032460208409054
2020-07-14,-0.2144134387202985
2020-07-15,-0.2115104226241239
2020-07-16,-0.21432801330898957
2020-07-17,-0.21023483300779985
2020-07-20,-0.20504415335454015
2020-07-21,-0.19752526927103173
2020-07-22,-0.19547795517627328
2020-07-23,-0.18932587767370687
2020-07-24,-0.18760868211756573
2020-07-27,-0.19628153319790756
2020-07-28,-0.2002415077729886
2020-07-29,-0.2017806130648756
2020-07-30,-0.203380529666508
2020-07-31,-0.1993061719135727
2020-08-03,-0.18896969714519868
2020-08-04,-0.1811250381880547
2020-08-05,-0.17460954071534374
2020-08-06,-0.1645988408206053
2020-08-07,-0.1606243873622516
2020-08-10,-0.1497768080143515
2020-08-11,-0.1458588222007614
2020-08-12,-0.14160637418357208
2020-08-13,-0.12099857962155099
2020-08-14,-0.11893244297853801
2020-08-17,-0.11666649774636187
2020-08-18,-0.10855542733700038
2020-08-19,-0.10554237172795347
2020-08-20,-0.09783960582688184
2020-08-21,-0.0848534954196054
2020-08-24,-0.07021534443091482
2020-08-25,-0.07043831923331426
2020-08-26,-0.06402851760849394
2020-08-27,-0.05843242922359892
2020-08-28,-0.05837306580218097
2020-08-31,-0.09711421377492001
2020-09-01,-0.09758188170462792
2020-09-02,-0.0799639765384176
2020-09-03,-0.07874195879020254
2020-09-04,-0.08718025196152682
2020-09-07,-0.0857236763042941
2020-09-08,-0.09228261042682304
2020-09-09,-0.10234398641301604
2020-09-10,-0.08806491172948817
2020-09-11,-0.08875121079661377
2020-09-14,-0.04681022962060988
2020-09-15,-0.03688205936052574
2020-09-16,-0.03424545471656864
2020-09-17,-0.040423594209026026
2020-09-18,-0.048524529400096605
2020-09-21,-0.07395234420359634
2020-09-22,-0.09050460356093662
2020-09-23,-0.09208280183765996
2020-09-24,-0.10742462655340322
2020-09-25,-0.09529421814754284
2020-09-28,-0.07963096222314575
2020-09-29,-0.07870141791703901
2020-09-30,-0.07621394577079063
2020-10-01,-0.07176892860607448
2020-10-05,-0.06823318531088347
2020-10-06,-0.06956234679531638
2020-10-07,-0.07186738501232875
2020-10-08,-0.08085587574801543
2020-10-09,-0.08362279034142665
2020-10-12,-0.09130962947089821
2020-10-13,-0.08977341995566573
2020-10-14,-0.08111649564692378
2020-10-15,-0.09422133289703642
2020-10-16,-0.08365609177295381
2020-10-19,-0.07634425572024485
2020-10-20,-0.07748084805715118
2020-10-21,-0.07678875743671651
2020-10-22,-0.0744171163566497
2020-10-23,-0.06731811988804927
2020-10-26,-0.07122741837167597
2020-10-27,-0.06914535495706303
2020-10-28,-0.07152133970211148
2020-10-29,-0.07517870561679323
2020-10-30,-0.0727404616736722
2020-11-02,-0.07395668786857817
2020-11-03,-0.06935964242949877
2020-11-04,-0.06364627509009496
2020-11-05,-0.053613856870447285
2020-11-06,-0.04785415710457098
2020-11-09,-0.03613060531867303
2020-11-10,-0.03721073001081583
